"","past_pat_year","past_pat","pasture_id","patch_id","year","DICK_1","DICK_2","DICK_3","DICK_4","DICK_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"14","235_N_2021","235_N","235","N",2021,8,8,12,5,4,0.88,0.38,0.88,0.88,0.13,1,1,1,3,1,151,165,179,192,199,6.95,7.21666666666667,7.95,8.15,7.5,"JJC","JJC","JNA","JEM","JJC",8,800
"15","235_N_2022","235_N","235","N",2022,7,6,6,8,2,0.38,0.13,0.13,0.13,0.38,1,2,3,3,3,156,168,179,191,196,6.41666666666667,7.53333333333333,8.71666666666667,7.68333333333333,7.5,"JJC","HKG","WPT","NGP","JJC",8,800
"16","235_N_2023","235_N","235","N",2023,1,4,7,2,1,0.38,0.88,0.13,0.13,0.13,1,3,3,3,3,154,168,183,191,195,9.15,8.95,9.48333333333333,8.53333333333333,7.9,"JJC","WPT","JJC","JJC","JLS",8,800
"17","235_S_2014","235_S","235","S",2014,3,5,10,10,5,0.38,0.38,0.38,0.13,0.38,2,4,4,3,1,141,152,168,184,200,6.16666666666667,7.56666666666667,7.51666666666667,5.86666666666667,6.2,"CD","SR","CD","ORG","CD",9,900
"18","235_S_2015","235_S","235","S",2015,1,2,7,13,3,0.13,0.38,0.88,0.13,0.13,2,3,2,3,2,141,161,177,193,211,6.56666666666667,7.91666666666667,6.6,6.53333333333333,6.7,"BSV","BSV","BSV","BSV","BSV",9,900
"19","235_S_2016","235_S","235","S",2016,5,7,4,5,8,0.13,0.38,0.13,0.38,0.38,1,1,4,3,2,150,166,177,195,211,7.08333333333333,6.4,8.86666666666667,6.43333333333333,6.46666666666667,"SBN","JJC","SR","ACW","SBN",9,900
"20","235_S_2017","235_S","235","S",2017,12,8,13,14,6,0.38,0.13,0.13,0.13,0.13,3,4,2,1,1,150,164,176,189,205,5.91666666666667,6.3,6.73333333333333,7.31666666666667,6.38333333333333,"JJC","ALL","JJC","ALL","JJC",9,900
"21","235_S_2018","235_S","235","S",2018,4,4,10,6,9,0.13,0.38,0.88,0.38,0.63,4,2,2,2,3,147,161,174,187,199,7.05,6.3,8.06666666666667,6.06666666666667,6.33333333333333,"SR","JJC","SR","TMS","BJE",9,900
"22","235_S_2021","235_S","235","S",2021,1,3,3,4,4,0.88,0.38,0.88,0.88,0.13,1,3,1,3,1,151,165,179,192,199,6.08333333333333,5.95,6.13333333333333,6.5,6.21666666666667,"JJC","JJC","JNA","JEM","JJC",9,900
"23","235_S_2022","235_S","235","S",2022,5,8,16,17,8,0.88,0.13,0.38,0.13,0.63,3,2,3,3,2,158,168,179,191,196,6.78333333333333,6.05,6.28333333333333,6.4,6.55,"JJC","HKG","WPT","NGP","JJC",9,900
"24","235_S_2023","235_S","235","S",2023,8,13,12,15,6,0.38,0.63,0.13,0.88,0.13,1,3,1,3,3,154,168,178,189,195,6.31666666666667,6.61666666666667,6.03333333333333,6.1,6.35,"JJC","WPT","JJC","JJC","JLS",9,900
"25","BSH_C_2014","BSH_C","BSH","C",2014,0,1,NA,NA,NA,0.13,0.13,0.43,0.37,0.37,1,2,2.32,2.29,2.15,184,200,169.67,182.77,195.25,6.26666666666667,7.93333333333333,7.59,7.79,7.82,"CD","ORG",NA,NA,NA,2,200
"26","BSH_C_2015","BSH_C","BSH","C",2015,0,0,0,0,2,0.13,0.13,0.13,0.13,0.63,3,3,2,3,2,149,159,174,193,215,6.86666666666667,7.01666666666667,6.25,9.63333333333333,6.73333333333333,"SR","SR","BSV","BSV","SR",2,200
"27","BSH_C_2016","BSH_C","BSH","C",2016,1,3,1,3,3,0.63,0.13,0.38,0.13,0.38,2,1,2,3,1,149,165,180,193,209,6.98333333333333,6.85,6.63333333333333,8.2,7.28333333333333,"SBN","JJC","SR","SBN","ACW",2,200
"28","BSH_C_2017","BSH_C","BSH","C",2017,3,1,2,2,3,0.13,0.13,0.13,0.13,0.13,2,4,2,1,2,146,162,178,190,205,9.18333333333333,6.51666666666667,8.6,8.55,8.66666666666667,"JD","ALL","ALL","JJC","JD",2,200
"29","BSH_C_2021","BSH_C","BSH","C",2021,4,3,3,2,4,0.13,0.38,0.88,0.13,0.13,2,2,1,1,1,154,167,179,186,199,7.66666666666667,6.56666666666667,8.31666666666667,7.28333333333333,9.3,"WPT","JJC","JEM","JNA","JEM",2,200
"30","BSH_C_2022","BSH_C","BSH","C",2022,1,1,3,1,4,0.63,0.38,0.38,0.63,0.63,2,3,1,2,4,158,169,179,190,196,8.56666666666667,8.9,7.03333333333333,7.98333333333333,9,"JJC","HKG","JLS","JJC","NGP",2,200
"31","BSH_C_2023","BSH_C","BSH","C",2023,2,0,0,3,2,0.13,0.13,0.13,0.13,0.13,3,3,1,1,1,154,172,184,191,194,9.18333333333333,8.83333333333333,7.7,6.88333333333333,8.7,"WPT","JJC","JJC","JLS","HKG",2,200
"32","BSH_N_2014","BSH_N","BSH","N",2014,1,1,NA,NA,NA,0.13,0.13,0.43,0.37,0.37,1,2,2.32,2.29,2.15,184,200,169.67,182.77,195.25,6.43333333333333,8.06666666666667,7.59,7.79,7.82,"CD","ORG",NA,NA,NA,2,200
"33","BSH_N_2015","BSH_N","BSH","N",2015,0,0,1,0,1,0.13,0.13,0.13,0.13,0.38,3,3,2,3,2,149,159,174,193,215,7.11666666666667,7.13333333333333,6.38333333333333,9.81666666666667,6.9,"SR","SR","BSV","BSV","SR",2,200
"34","BSH_N_2016","BSH_N","BSH","N",2016,3,3,1,5,1,0.88,0.13,0.38,0.13,0.38,4,1,3,3,1,149,165,180,193,209,7.5,7.31666666666667,6.83333333333333,8.76666666666667,7.76666666666667,"SBN","JJC","SR","SBN","ACW",2,200
"35","BSH_N_2017","BSH_N","BSH","N",2017,1,0,0,0,2,0.38,0.13,0.13,0.13,0.13,2,4,2,1,2,146,162,178,190,205,9.01666666666667,6.35,8.41666666666667,8.38333333333333,8.5,"JD","ALL","ALL","JJC","JD",2,200
"36","BSH_N_2021","BSH_N","BSH","N",2021,3,5,6,4,10,0.13,0.38,0.88,0.13,0.13,2,2,1,1,1,154,167,179,186,199,7.21666666666667,6.3,8.01666666666667,6.86666666666667,8.9,"WPT","JJC","JEM","JNA","JEM",2,200
"37","BSH_N_2022","BSH_N","BSH","N",2022,3,6,4,5,1,0.63,0.38,0.38,0.63,0.63,2,3,1,2,4,158,169,179,190,196,8.36666666666667,8.63333333333333,6.75,7.75,9.2,"JJC","HKG","JLS","JJC","NGP",2,200
"38","BSH_N_2023","BSH_N","BSH","N",2023,1,2,2,0,0,0.13,0.13,0.13,0.13,0.13,3,3,1,1,1,154,172,184,191,194,8.95,8.7,7.56666666666667,6.65,8.5,"WPT","JJC","JJC","JLS","HKG",2,200
"39","BSH_S_2014","BSH_S","BSH","S",2014,2,0,NA,NA,NA,0.13,0.13,0.43,0.37,0.37,1,2,2.32,2.29,2.15,184,200,169.67,182.77,195.25,6.08333333333333,7.78333333333333,7.59,7.79,7.82,"CD","ORG",NA,NA,NA,2,200
"40","BSH_S_2015","BSH_S","BSH","S",2015,0,0,0,1,0,0.13,0.13,0.13,0.13,0.63,3,3,2,3,2,149,159,174,193,215,6.76666666666667,6.91666666666667,6.13333333333333,9.48333333333333,6.6,"SR","SR","BSV","BSV","SR",2,200
"41","BSH_S_2016","BSH_S","BSH","S",2016,2,2,1,4,3,0.63,0.13,0.38,0.13,0.38,1,1,2,3,1,149,165,180,193,209,6.65,6.53333333333333,6.46666666666667,7.75,6.96666666666667,"SBN","JJC","SR","SBN","ACW",2,200
"42","BSH_S_2017","BSH_S","BSH","S",2017,1,0,0,1,0,0.13,0.13,0.13,0.13,0.13,1,3,2,2,2,146,162,178,190,205,9.5,6.81666666666667,8.8,8.8,8.88333333333333,"JD","ALL","ALL","JJC","JD",2,200
"43","BSH_S_2021","BSH_S","BSH","S",2021,1,1,3,2,2,0.13,0.38,0.88,0.13,0.13,2,2,1,1,1,154,167,179,186,199,8.06666666666667,6.83333333333333,8.61666666666667,7.65,9.6,"WPT","JJC","JEM","JNA","JEM",2,200
"44","BSH_S_2022","BSH_S","BSH","S",2022,0,0,1,0,0,0.38,0.38,0.38,0.38,0.63,2,3,1,2,4,158,169,179,190,196,8.93333333333333,9.16666666666667,7.43333333333333,8.15,8.8,"JJC","HKG","JLS","JJC","NGP",2,200
"45","BSH_S_2023","BSH_S","BSH","S",2023,2,1,1,1,1,0.13,0.13,0.13,0.13,0.13,3,3,1,2,1,154,172,184,191,194,9.5,9.01666666666667,7.88333333333333,7.23333333333333,8.93333333333333,"WPT","JJC","JJC","JLS","HKG",2,200
"46","DUN_C_2014","DUN_C","DUN","C",2014,2,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,9.56666666666667,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"47","DUN_C_2015","DUN_C","DUN","C",2015,7,6,3,3,0,0.13,0.63,0.38,0.13,0.38,2,4,2,2,1,147,158,172,191,215,8.26666666666667,6.75,7.85,7.98333333333333,7.5,"BSV","BSV","BSV","BSV","JJC",3,300
"48","DUN_C_2016","DUN_C","DUN","C",2016,3,0,0,0,0,0.38,0.38,0.63,0.13,0.38,1,2,2,1,3,153,166,177,197,213,7.83333333333333,6.96666666666667,7.33333333333333,7.16666666666667,8.63333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"49","DUN_C_2017","DUN_C","DUN","C",2017,5,6,5,0,1,0.13,0.13,0.13,0.13,0.13,1,1,2,1,1,150,160,176,188,203,6.4,7.63333333333333,7.06666666666667,7.4,7.18333333333333,"JD","JJC","JD","ALL","JJC",3,300
"50","DUN_C_2018","DUN_C","DUN","C",2018,6,3,3,0,0,0.13,0.13,0.88,0.13,0.13,2,1,3,3,3,147,159,173,188,201,7.43333333333333,6.81666666666667,7.08333333333333,9.03333333333333,7.46666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"51","DUN_E_2014","DUN_E","DUN","E",2014,1,NA,NA,NA,NA,0.13,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,8.18333333333333,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"52","DUN_E_2015","DUN_E","DUN","E",2015,0,0,1,0,0,0.13,0.63,0.13,0.13,0.38,2,4,1,2,2,147,158,172,191,215,7.21666666666667,5.9,6.8,7.01666666666667,6.5,"BSV","BSV","BSV","BSV","JJC",3,300
"53","DUN_E_2016","DUN_E","DUN","E",2016,1,4,5,1,0,0.38,0.38,0.63,0.13,0.38,1,1,2,2,3,153,166,177,197,213,6.96666666666667,6.23333333333333,6.48333333333333,6.48333333333333,7.88333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"54","DUN_E_2017","DUN_E","DUN","E",2017,2,4,3,0,0,0.13,0.13,0.13,0.13,0.13,1,1,2,1,1,150,160,176,188,203,5.88333333333333,6.43333333333333,5.96666666666667,6.21666666666667,6.61666666666667,"JD","JJC","JD","ALL","JJC",3,300
"55","DUN_E_2018","DUN_E","DUN","E",2018,5,3,1,6,2,0.13,0.38,0.88,0.13,0.13,1,1,4,2,3,147,159,173,188,201,6.38333333333333,5.85,6.36666666666667,8.28333333333333,6.71666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"56","DUN_W_2014","DUN_W","DUN","W",2014,3,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,9.15,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"57","DUN_W_2015","DUN_W","DUN","W",2015,2,0,1,0,0,0.13,0.63,0.13,0.13,0.38,2,4,2,2,1,147,158,172,191,215,7.78333333333333,6.36666666666667,7.36666666666667,7.41666666666667,6.95,"BSV","BSV","BSV","BSV","JJC",3,300
"58","DUN_W_2016","DUN_W","DUN","W",2016,0,0,3,4,1,0.38,0.38,0.63,0.13,0.38,1,3,2,3,3,153,166,177,197,213,7.4,7.6,7.06666666666667,7.7,8.28333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"59","DUN_W_2017","DUN_W","DUN","W",2017,5,2,0,0,0,0.13,0.13,0.13,0.13,0.13,2,1,1,2,1,150,160,176,188,203,6.86666666666667,7.05,6.58333333333333,6.9,7.51666666666667,"JD","JJC","JD","ALL","JJC",3,300
"60","DUN_W_2018","DUN_W","DUN","W",2018,3,6,3,1,0,0.13,0.13,0.88,0.13,0.13,2,1,4,3,4,147,159,173,188,201,7,6.36666666666667,6.73333333333333,8.66666666666667,7.15,"TMS","JJC","TMS","TMS","TMS",3,300
"61","FRN_E_2014","FRN_E","FRN","E",2014,1,2,NA,NA,NA,0.38,0.63,0.43,0.37,0.37,2,3,2.32,2.29,2.15,177,191,169.67,182.77,195.25,6.26666666666667,6.98333333333333,7.59,7.79,7.82,"CD","CD",NA,NA,NA,2,200
"62","FRN_E_2015","FRN_E","FRN","E",2015,0,0,1,4,6,0.13,0.88,0.13,0.38,0.88,2,2,3,2,2,147,163,180,191,215,7.93333333333333,8.83333333333333,6.61666666666667,8.73333333333333,8.93333333333333,"SBN","BSV","BSV","BSV","BSV",2,200
"63","FRN_E_2016","FRN_E","FRN","E",2016,1,1,1,3,1,0.38,0.63,0.38,0.13,0.13,1,2,3,3,2,153,166,177,192,213,8.93333333333333,9.53333333333333,8.38333333333333,7.16666666666667,6.78333333333333,"JJC","SBN","JJC","SR","SR",2,200
"64","FRN_S_2014","FRN_S","FRN","S",2014,1,1,NA,NA,NA,0.63,0.63,0.43,0.37,0.37,2,3,2.32,2.29,2.15,177,191,169.67,182.77,195.25,7.72,7.88333333333333,7.59,7.79,7.82,"CD","CD",NA,NA,NA,2,200
"65","FRN_S_2015","FRN_S","FRN","S",2015,0,3,0,1,0,0.13,0.88,0.13,0.38,0.88,2,3,2,2,2,147,163,180,191,215,8.31666666666667,9.33333333333333,7.13333333333333,9.26666666666667,9.46666666666667,"SBN","BSV","BSV","BSV","BSV",2,200
"66","FRN_S_2016","FRN_S","FRN","S",2016,0,0,0,1,0,0.38,0.38,0.38,0.13,0.13,1,3,2,4,3,153,166,177,192,213,9.33333333333333,9.95,8.83333333333333,7.58333333333333,7.21666666666667,"JJC","SBN","JJC","SR","SR",2,200
"67","FRN_W_2014","FRN_W","FRN","W",2014,3,2,NA,NA,NA,0.38,0.63,0.43,0.37,0.37,2,3,2.32,2.29,2.15,177,191,169.67,182.77,195.25,6.56666666666667,7.53333333333333,7.59,7.79,7.82,"CD","CD",NA,NA,NA,2,200
"68","FRN_W_2015","FRN_W","FRN","W",2015,0,0,0,0,1,0.13,0.88,0.13,0.38,0.88,2,3,2,2,2,147,163,180,191,215,8.13333333333333,9.15,6.91666666666667,9.08333333333333,9.23333333333333,"SBN","BSV","BSV","BSV","BSV",2,200
"69","FRN_W_2016","FRN_W","FRN","W",2016,0,0,0,2,2,0.38,0.63,0.38,0.13,0.13,1,3,3,4,2,153,166,177,192,213,9.2,9.78333333333333,8.66666666666667,7.45,7,"JJC","SBN","JJC","SR","SR",2,200
"70","FRS_E_2014","FRS_E","FRS","E",2014,1,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,2,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,7.66666666666667,7.61,7.59,7.79,7.82,"CD",NA,NA,NA,NA,2,200
"71","FRS_E_2015","FRS_E","FRS","E",2015,3,3,4,8,1,0.88,0.88,0.13,0.88,0.13,3,3,2,2,4,149,163,179,196,223,7.8,6.4,7.98333333333333,9.31666666666667,9.01666666666667,"SBN","BSV","BSV","BSV","SBN",2,200
"72","FRS_E_2016","FRS_E","FRS","E",2016,4,1,2,1,4,0.63,0.38,0.38,0.13,0.63,2,2,1,2,3,152,166,179,197,217,6.88333333333333,8.4,6.65,9.08333333333333,7.03333333333333,"SBN","SBN","SBN","SBN","SBN",2,200
"73","FRS_N_2014","FRS_N","FRS","N",2014,1,NA,NA,NA,NA,0.63,0.37,0.43,0.37,0.37,2,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,7.86666666666667,7.61,7.59,7.79,7.82,"CD",NA,NA,NA,NA,2,200
"74","FRS_N_2015","FRS_N","FRS","N",2015,3,6,5,5,0,0.88,0.88,0.13,0.88,0.13,3,3,3,2,3,149,163,179,196,223,8.16666666666667,6.76666666666667,8.31666666666667,9.71666666666667,9.25,"SBN","BSV","BSV","BSV","SBN",2,200
"75","FRS_N_2016","FRS_N","FRS","N",2016,12,0,0,0,3,0.63,0.38,0.38,0.13,0.63,1,3,1,2,2,152,166,179,197,217,7.25,8.58333333333333,6.91666666666667,9.35,7.4,"SBN","SBN","SBN","SBN","SBN",2,200
"76","FRS_W_2014","FRS_W","FRS","W",2014,1,NA,NA,NA,NA,0.63,0.37,0.43,0.37,0.37,3,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,8.05,7.61,7.59,7.79,7.82,"CD",NA,NA,NA,NA,2,200
"77","FRS_W_2015","FRS_W","FRS","W",2015,1,4,3,2,0,0.88,0.88,0.13,0.88,0.13,3,3,2,2,3,149,163,179,196,223,8.55,7.01666666666667,8.6,10.05,9.48333333333333,"SBN","BSV","BSV","BSV","SBN",2,200
"78","FRS_W_2016","FRS_W","FRS","W",2016,7,0,0,1,3,0.63,0.63,0.38,0.13,0.38,2,2,1,3,2,152,166,179,197,217,7.6,8.75,7.16666666666667,9.65,7.73333333333333,"SBN","SBN","SBN","SBN","SBN",2,200
"79","GIL_C_2007","GIL_C","GIL","C",2007,0,0,0,1,0,0.38,0.38,0.13,0.13,0.13,3,3,2,1,1,142,149,159,166,177,7.51666666666667,6.85,6.33333333333333,6.68333333333333,8.15,"CB","JF","CW","FP","CW",3.75,375.3
"80","GIL_C_2009","GIL_C","GIL","C",2009,0,0,0,1,1,0.88,0.63,0.38,0.13,0.63,3,1,2,2,2,146,156,162,173,181,6.96666666666667,6.78333333333333,7.95,9.31666666666667,6.98333333333333,"EH","FP","FP","JL","EH",3.75,375.3
"81","GIL_C_2010","GIL_C","GIL","C",2010,0,2,1,1,0,0.38,0.13,0.63,0.38,0.38,3,1,3,5,3,142,149,161,177,189,6.93333333333333,6.53333333333333,6.85,7.3,8.08333333333333,"SR","TL","SR","SR","SR",3,300
"82","GIL_C_2011","GIL_C","GIL","C",2011,0,0,0,1,1,0.63,0.63,0.13,0.88,0.13,4,3,3,3,3,140,147,157,171,182,7.76666666666667,8.46666666666667,6.91666666666667,7.45,8.16666666666667,"SR","SR","SR","CD","SR",3,300
"83","GIL_C_2012","GIL_C","GIL","C",2012,3,6,4,4,2,0.13,0.13,0.38,0.63,0.13,1,1,3,1,3,142,150,159,173,181,7.28333333333333,6.2,6.85,6.5,9.1,"SR","CD","SR","CD","CD",3,300
"84","GIL_C_2013","GIL_C","GIL","C",2013,0,0,1,1,4,0.38,0.13,0.63,0.13,0.38,3,3,3,3,3,137,154,163,181,194,8.98333333333333,8.68333333333333,7.56666666666667,6.5,6.76666666666667,"SR","AM","CD","AM","CD",3,300
"85","GIL_C_2014","GIL_C","GIL","C",2014,0,0,1,0,0,0.13,0.63,0.13,0.63,0.63,2,2,2,3,2,140,151,164,181,199,6.86666666666667,7.85,9.18333333333333,7.16666666666667,6.4,"CD","CD","CD","CD","CD",3,300
"86","GIL_C_2016","GIL_C","GIL","C",2016,0,5,5,4,2,0.38,0.63,0.38,0.38,0.63,2,2,1,3,2,149,163,180,195,213,8.71666666666667,6.35,6.63333333333333,8.66666666666667,8.58333333333333,"SR","JJC","ACW","SBN","JJC",3,300
"87","GIL_C_2017","GIL_C","GIL","C",2017,4,1,2,4,4,0.13,0.13,0.13,0.13,0.38,2,4,2,3,1,148,161,175,188,201,9.16666666666667,8.41666666666667,7,7.56666666666667,6.96666666666667,"ALL","JD","JJC","JD","JJC",3,300
"88","GIL_C_2018","GIL_C","GIL","C",2018,1,3,1,0,0,0.13,0.88,0.88,0.13,0.13,4,3,4,3,1,146,160,173,189,202,8.38333333333333,8.48333333333333,7.75,7.75,6.23333333333333,"SR","JJC","BJE","BJE","TMS",3,300
"89","GIL_C_2021","GIL_C","GIL","C",2021,5,8,11,6,16,0.38,0.13,0.63,0.88,0.13,2,2,1,2,1,153,166,178,190,201,8.5,9.13333333333333,8.53333333333333,8.55,8.75,"JJC","WPT","JEM","JNA","JEM",3,300
"90","GIL_C_2022","GIL_C","GIL","C",2022,5,8,3,6,7,0.38,0.88,0.13,0.88,0.63,2,3,2,1,1,154,168,180,189,198,7.73333333333333,7.23333333333333,6.63333333333333,9.33333333333333,6.21666666666667,"JJC","WPT","JJC","HKG","JJC",3,300
"91","GIL_C_2023","GIL_C","GIL","C",2023,4,6,9,5,5,0.38,0.13,0.88,0.38,0.13,3,3,3,1,1,155,168,179,190,194,6.51666666666667,7.16666666666667,6.86666666666667,6.75,7.35,"WPT","JJC","WPT","HKG","JJC",3,300
"92","GIL_N_2007","GIL_N","GIL","N",2007,0,0,0,1,0,0.38,0.38,0.13,0.13,0.13,3,3,4,1,3,142,149,159,166,177,7.88333333333333,6.46666666666667,6.26666666666667,6.35,8.46666666666667,"CB","JF","JF","FP","CW",4.01,401.33
"93","GIL_N_2009","GIL_N","GIL","N",2009,0,1,0,0,0,0.88,0.38,0.38,0.13,0.63,3,1,2,2,2,146,156,162,173,181,7.41666666666667,7.2,8.3,8.9,7.33333333333333,"EH","FP","FP","JL","EH",4.01,401.33
"94","GIL_N_2012","GIL_N","GIL","N",2012,1,1,1,2,0,0.13,0.13,0.13,0.63,0.13,1,1,2,1,3,142,150,159,173,181,7.38333333333333,6.3,6.93333333333333,6.6,9.21666666666667,"SR","CD","SR","CD","SR",3,300
"95","GIL_N_2013","GIL_N","GIL","N",2013,0,0,1,2,1,0.38,0.13,0.63,0.13,0.38,3,2,2,3,3,137,154,163,181,194,9.06666666666667,8.83333333333333,7.66666666666667,6.66666666666667,6.81666666666667,"SR","AM","CD","AM","CD",3,300
"96","GIL_N_2017","GIL_N","GIL","N",2017,0,1,2,1,0,0.13,0.13,0.13,0.13,0.38,2,4,2,2,1,148,161,175,188,201,9.51666666666667,7.6,7.11666666666667,7.68333333333333,7.08333333333333,"ALL","JD","JJC","JD","JJC",3,300
"97","GIL_N_2018","GIL_N","GIL","N",2018,1,2,0,0,0,0.13,0.88,0.88,0.13,0.13,4,1,4,3,1,146,160,173,189,202,8.46666666666667,8.66666666666667,7.86666666666667,7.96666666666667,6.35,"SR","JJC","BJE","BJE","TMS",3,300
"98","GIL_N_2021","GIL_N","GIL","N",2021,3,3,4,5,1,0.63,0.13,0.63,0.88,0.13,1,2,1,2,1,153,166,178,190,201,8.7,9.33333333333333,8.73333333333333,8.81666666666667,8.95,"JJC","WPT","JEM","JNA","JEM",3,300
"99","GIL_N_2022","GIL_N","GIL","N",2022,4,NA,4,7,4,0.38,0.37,0.13,0.88,0.63,2,2.4,1,1,1,154,158.38,180,189,198,7.88333333333333,7.61,6.81666666666667,9.51666666666667,6.36666666666667,"JJC",NA,"JJC","HKG","JJC",3,300
"100","GIL_N_2023","GIL_N","GIL","N",2023,3,3,2,3,3,0.38,0.13,0.88,0.38,0.13,3,3,3,1,1,155,168,179,190,194,6.7,7.35,7.08333333333333,6.95,7.5,"WPT","JJC","WPT","HKG","JJC",3,300
"101","GIL_S_2009","GIL_S","GIL","S",2009,0,0,1,0,0,0.88,0.63,0.38,0.13,0.63,3,1,2,2,2,146,156,162,173,181,6.75,6.66666666666667,7.76666666666667,9.61666666666667,6.81666666666667,"EH","FP","FP","JL","EH",1.51,150.84
