"","past_pat_year","past_pat","pasture_id","patch_id","year","EAME_1","EAME_2","EAME_3","EAME_4","EAME_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"33","DUN_C_2017","DUN_C","DUN","C",2017,1,1,1,0,0,0.13,0.13,0.13,0.13,0.13,1,1,2,1,1,150,160,176,188,203,6.4,7.63333333333333,7.06666666666667,7.4,7.18333333333333,"JD","JJC","JD","ALL","JJC",3,300
"34","DUN_C_2018","DUN_C","DUN","C",2018,1,1,0,0,1,0.13,0.13,0.88,0.13,0.13,2,1,3,3,3,147,159,173,188,201,7.43333333333333,6.81666666666667,7.08333333333333,9.03333333333333,7.46666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"35","DUN_E_2015","DUN_E","DUN","E",2015,2,0,1,0,0,0.13,0.63,0.13,0.13,0.38,2,4,1,2,2,147,158,172,191,215,7.21666666666667,5.9,6.8,7.01666666666667,6.5,"BSV","BSV","BSV","BSV","JJC",3,300
"36","DUN_E_2016","DUN_E","DUN","E",2016,3,0,1,0,0,0.38,0.38,0.63,0.13,0.38,1,1,2,2,3,153,166,177,197,213,6.96666666666667,6.23333333333333,6.48333333333333,6.48333333333333,7.88333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"37","DUN_E_2018","DUN_E","DUN","E",2018,1,0,2,1,1,0.13,0.38,0.88,0.13,0.13,1,1,4,2,3,147,159,173,188,201,6.38333333333333,5.85,6.36666666666667,8.28333333333333,6.71666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"38","DUN_W_2014","DUN_W","DUN","W",2014,1,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,9.15,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"39","DUN_W_2015","DUN_W","DUN","W",2015,0,2,2,0,0,0.13,0.63,0.13,0.13,0.38,2,4,2,2,1,147,158,172,191,215,7.78333333333333,6.36666666666667,7.36666666666667,7.41666666666667,6.95,"BSV","BSV","BSV","BSV","JJC",3,300
"40","DUN_W_2016","DUN_W","DUN","W",2016,0,1,2,0,0,0.38,0.38,0.63,0.13,0.38,1,3,2,3,3,153,166,177,197,213,7.4,7.6,7.06666666666667,7.7,8.28333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"41","DUN_W_2017","DUN_W","DUN","W",2017,0,1,0,0,0,0.13,0.13,0.13,0.13,0.13,2,1,1,2,1,150,160,176,188,203,6.86666666666667,7.05,6.58333333333333,6.9,7.51666666666667,"JD","JJC","JD","ALL","JJC",3,300
"42","DUN_W_2018","DUN_W","DUN","W",2018,2,1,1,0,0,0.13,0.13,0.88,0.13,0.13,2,1,4,3,4,147,159,173,188,201,7,6.36666666666667,6.73333333333333,8.66666666666667,7.15,"TMS","JJC","TMS","TMS","TMS",3,300
"43","FRN_E_2015","FRN_E","FRN","E",2015,0,3,2,0,0,0.13,0.88,0.13,0.38,0.88,2,2,3,2,2,147,163,180,191,215,7.93333333333333,8.83333333333333,6.61666666666667,8.73333333333333,8.93333333333333,"SBN","BSV","BSV","BSV","BSV",2,200
"44","FRN_S_2014","FRN_S","FRN","S",2014,2,1,NA,NA,NA,0.63,0.63,0.43,0.37,0.37,2,3,2.32,2.29,2.15,177,191,169.67,182.77,195.25,7.72,7.88333333333333,7.59,7.79,7.82,"CD","CD",NA,NA,NA,2,200
"45","FRN_S_2015","FRN_S","FRN","S",2015,0,0,0,1,0,0.13,0.88,0.13,0.38,0.88,2,3,2,2,2,147,163,180,191,215,8.31666666666667,9.33333333333333,7.13333333333333,9.26666666666667,9.46666666666667,"SBN","BSV","BSV","BSV","BSV",2,200
"46","FRN_S_2016","FRN_S","FRN","S",2016,1,1,0,0,0,0.38,0.38,0.38,0.13,0.13,1,3,2,4,3,153,166,177,192,213,9.33333333333333,9.95,8.83333333333333,7.58333333333333,7.21666666666667,"JJC","SBN","JJC","SR","SR",2,200
"47","FRN_W_2014","FRN_W","FRN","W",2014,4,0,NA,NA,NA,0.38,0.63,0.43,0.37,0.37,2,3,2.32,2.29,2.15,177,191,169.67,182.77,195.25,6.56666666666667,7.53333333333333,7.59,7.79,7.82,"CD","CD",NA,NA,NA,2,200
"48","FRS_E_2014","FRS_E","FRS","E",2014,1,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,2,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,7.66666666666667,7.61,7.59,7.79,7.82,"CD",NA,NA,NA,NA,2,200
"49","FRS_N_2016","FRS_N","FRS","N",2016,0,0,0,0,1,0.63,0.38,0.38,0.13,0.63,1,3,1,2,2,152,166,179,197,217,7.25,8.58333333333333,6.91666666666667,9.35,7.4,"SBN","SBN","SBN","SBN","SBN",2,200
"50","FRS_W_2014","FRS_W","FRS","W",2014,2,NA,NA,NA,NA,0.63,0.37,0.43,0.37,0.37,3,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,8.05,7.61,7.59,7.79,7.82,"CD",NA,NA,NA,NA,2,200
"51","FRS_W_2016","FRS_W","FRS","W",2016,1,0,0,3,0,0.63,0.63,0.38,0.13,0.38,2,2,1,3,2,152,166,179,197,217,7.6,8.75,7.16666666666667,9.65,7.73333333333333,"SBN","SBN","SBN","SBN","SBN",2,200
"52","GIL_C_2007","GIL_C","GIL","C",2007,2,2,0,0,1,0.38,0.38,0.13,0.13,0.13,3,3,2,1,1,142,149,159,166,177,7.51666666666667,6.85,6.33333333333333,6.68333333333333,8.15,"CB","JF","CW","FP","CW",3.75,375.3
"53","GIL_C_2008","GIL_C","GIL","C",2008,2,1,2,1,1,0.13,0.38,0.38,0.88,0.88,2,4,1,2,4,133,141,147,150,160,6.65,6.8,6.55,6.48333333333333,9.38333333333333,"JF","SR","CW","SR","JF",3.75,375.3
"54","GIL_C_2010","GIL_C","GIL","C",2010,0,1,0,0,0,0.38,0.13,0.63,0.38,0.38,3,1,3,5,3,142,149,161,177,189,6.93333333333333,6.53333333333333,6.85,7.3,8.08333333333333,"SR","TL","SR","SR","SR",3,300
"55","GIL_C_2012","GIL_C","GIL","C",2012,0,0,1,1,0,0.13,0.13,0.38,0.63,0.13,1,1,3,1,3,142,150,159,173,181,7.28333333333333,6.2,6.85,6.5,9.1,"SR","CD","SR","CD","CD",3,300
"56","GIL_C_2013","GIL_C","GIL","C",2013,0,0,0,2,1,0.38,0.13,0.63,0.13,0.38,3,3,3,3,3,137,154,163,181,194,8.98333333333333,8.68333333333333,7.56666666666667,6.5,6.76666666666667,"SR","AM","CD","AM","CD",3,300
"57","GIL_C_2014","GIL_C","GIL","C",2014,0,2,1,1,3,0.13,0.63,0.13,0.63,0.63,2,2,2,3,2,140,151,164,181,199,6.86666666666667,7.85,9.18333333333333,7.16666666666667,6.4,"CD","CD","CD","CD","CD",3,300
"58","GIL_C_2016","GIL_C","GIL","C",2016,0,1,0,0,1,0.38,0.63,0.38,0.38,0.63,2,2,1,3,2,149,163,180,195,213,8.71666666666667,6.35,6.63333333333333,8.66666666666667,8.58333333333333,"SR","JJC","ACW","SBN","JJC",3,300
"59","GIL_C_2017","GIL_C","GIL","C",2017,0,0,1,0,0,0.13,0.13,0.13,0.13,0.38,2,4,2,3,1,148,161,175,188,201,9.16666666666667,8.41666666666667,7,7.56666666666667,6.96666666666667,"ALL","JD","JJC","JD","JJC",3,300
"60","GIL_C_2018","GIL_C","GIL","C",2018,0,2,0,0,1,0.13,0.88,0.88,0.13,0.13,4,3,4,3,1,146,160,173,189,202,8.38333333333333,8.48333333333333,7.75,7.75,6.23333333333333,"SR","JJC","BJE","BJE","TMS",3,300
"61","GIL_N_2007","GIL_N","GIL","N",2007,1,0,0,3,1,0.38,0.38,0.13,0.13,0.13,3,3,4,1,3,142,149,159,166,177,7.88333333333333,6.46666666666667,6.26666666666667,6.35,8.46666666666667,"CB","JF","JF","FP","CW",4.01,401.33
"62","GIL_N_2008","GIL_N","GIL","N",2008,1,0,1,0,0,0.13,0.38,0.38,0.88,0.88,2,4,1,2,4,133,141,147,150,160,7.13333333333333,7.1,6.93333333333333,6.65,9.63333333333333,"JF","SR","CW","SR","JF",4.01,401.33
"63","GIL_N_2009","GIL_N","GIL","N",2009,1,1,2,3,1,0.88,0.38,0.38,0.13,0.63,3,1,2,2,2,146,156,162,173,181,7.41666666666667,7.2,8.3,8.9,7.33333333333333,"EH","FP","FP","JL","EH",4.01,401.33
"64","GIL_N_2011","GIL_N","GIL","N",2011,1,0,0,0,1,0.63,0.63,0.13,0.88,0.13,4,4,2.32,3,3,140,147,157,171,182,7.9,8.58333333333333,7.13333333333333,7.6,8.25,"SR","SR","SR","CD","SR",3,300
"65","GIL_N_2012","GIL_N","GIL","N",2012,0,0,1,0,0,0.13,0.13,0.13,0.63,0.13,1,1,2,1,3,142,150,159,173,181,7.38333333333333,6.3,6.93333333333333,6.6,9.21666666666667,"SR","CD","SR","CD","SR",3,300
"66","GIL_N_2013","GIL_N","GIL","N",2013,1,1,0,1,0,0.38,0.13,0.63,0.13,0.38,3,2,2,3,3,137,154,163,181,194,9.06666666666667,8.83333333333333,7.66666666666667,6.66666666666667,6.81666666666667,"SR","AM","CD","AM","CD",3,300
"67","GIL_N_2014","GIL_N","GIL","N",2014,0,2,1,1,0,0.13,0.63,0.13,0.63,0.63,3,2,2,1,2,140,151,164,181,199,7.03333333333333,7.93333333333333,9.28333333333333,7.28333333333333,6.46666666666667,"CD","CD","CD","CD","CD",3,300
"68","GIL_N_2016","GIL_N","GIL","N",2016,0,0,0,4,0,0.38,0.63,0.38,0.38,0.63,2,2,1,3,2,149,163,180,195,213,8.8,6.56666666666667,6.78333333333333,8.85,8.7,"SR","JJC","ACW","SBN","JJC",3,300
"69","GIL_N_2017","GIL_N","GIL","N",2017,0,3,2,0,0,0.13,0.13,0.13,0.13,0.38,2,4,2,2,1,148,161,175,188,201,9.51666666666667,7.6,7.11666666666667,7.68333333333333,7.08333333333333,"ALL","JD","JJC","JD","JJC",3,300
"70","GIL_N_2018","GIL_N","GIL","N",2018,0,0,0,2,0,0.13,0.88,0.88,0.13,0.13,4,1,4,3,1,146,160,173,189,202,8.46666666666667,8.66666666666667,7.86666666666667,7.96666666666667,6.35,"SR","JJC","BJE","BJE","TMS",3,300
"71","GIL_N_2021","GIL_N","GIL","N",2021,0,0,0,1,0,0.63,0.13,0.63,0.88,0.13,1,2,1,2,1,153,166,178,190,201,8.7,9.33333333333333,8.73333333333333,8.81666666666667,8.95,"JJC","WPT","JEM","JNA","JEM",3,300
"72","GIL_N_2022","GIL_N","GIL","N",2022,0,NA,0,1,0,0.38,0.37,0.13,0.88,0.63,2,2.4,1,1,1,154,158.38,180,189,198,7.88333333333333,7.61,6.81666666666667,9.51666666666667,6.36666666666667,"JJC",NA,"JJC","HKG","JJC",3,300
"73","GIL_S_2008","GIL_S","GIL","S",2008,0,0,0,1,0,0.13,0.38,0.38,0.88,0.88,2,4,1,3,4,133,141,147,150,160,6.5,6.48333333333333,6.43333333333333,6.15,9.3,"JF","SR","CW","SR","JF",1.51,150.84
"74","GIL_S_2010","GIL_S","GIL","S",2010,0,1,0,0,0,0.38,0.13,0.63,0.38,0.38,3,1,2,5,3,142,149,161,177,189,6.73333333333333,6.28333333333333,6.71666666666667,7.18333333333333,7.93333333333333,"SR","TL","SR","SR","SR",2,200
"75","GIL_S_2013","GIL_S","GIL","S",2013,0,0,0,1,0,0.38,0.13,0.63,0.13,0.38,3,1,2,3,3,137,154,163,181,194,8.88333333333333,8.53333333333333,7.46666666666667,6.38333333333333,6.58333333333333,"SR","AM","CD","AM","CD",2,200
"76","GIL_S_2016","GIL_S","GIL","S",2016,0,1,0,0,3,0.38,0.63,0.38,0.38,0.63,2,2,1,2,2,149,163,180,195,213,8.61666666666667,6.2,6.41666666666667,8.48333333333333,8.38333333333333,"SR","JJC","ACW","SBN","JJC",1.75,175
"77","GIL_S_2018","GIL_S","GIL","S",2018,0,0,0,1,0,0.13,0.88,0.88,0.13,0.13,4,2,4,3,1,146,160,173,189,202,8.26666666666667,8.33333333333333,8.51666666666667,8.43333333333333,6.11666666666667,"SR","JJC","BJE","BJE","TMS",1.75,175
"78","GIL_S_2021","GIL_S","GIL","S",2021,1,0,0,0,0,0.38,0.13,0.63,0.88,0.13,2,2,1,2,1,153,166,178,190,201,8.45,8.91666666666667,8.31666666666667,8.23333333333333,8.51666666666667,"JJC","WPT","JEM","JNA","JEM",1.75,175
"79","GIL_S_2022","GIL_S","GIL","S",2022,0,0,0,1,0,0.63,0.88,0.13,0.88,0.63,2,3,1,1,1,154,168,180,189,198,7.5,7,6.16666666666667,9.16666666666667,7.11666666666667,"JJC","WPT","JJC","HKG","JJC",1.75,175
"80","KLN_C_2007","KLN_C","KLN","C",2007,0,0,0,0,1,0.13,0.88,0.13,0.13,0.13,1,5,4,1,2,145,150,159,166,177,8.15,8.51666666666667,7.61666666666667,7.95,6.48333333333333,"CW","JF","FP","FP","CW",5.96,596
"81","KLN_C_2008","KLN_C","KLN","C",2008,2,1,0,0,0,0.38,0.38,0.63,0.88,0.88,4,4,3,2,2,134,140,146,156,165,6.33333333333333,9.31666666666667,8.68333333333333,8.98333333333333,6.6,"CW","SR","CW","CW","SR",5.96,596
"82","KLN_C_2009","KLN_C","KLN","C",2009,1,0,0,0,5,0.13,0.13,0.38,0.13,0.63,3,3,3,3,3,134,168,170,182,201,8.43333333333333,8.36666666666667,6.95,9.18333333333333,7.9,"EH","SR","EH","FP","EH",5.96,596
"83","KLN_C_2010","KLN_C","KLN","C",2010,1,2,6,0,0,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.73333333333333,7.01666666666667,7.2,7.05,7,"SR","SR","TH","SR","TH",4,400
"84","KLN_C_2011","KLN_C","KLN","C",2011,0,2,0,1,1,0.63,0.37,0.88,0.13,0.13,2,2.4,2,2,2,139,147,162,175,183,7.4,6.96666666666667,6.26666666666667,6.36666666666667,6.31666666666667,"TL","SR","CP","CP","CD",4,400
"85","KLN_C_2012","KLN_C","KLN","C",2012,0,0,3,2,1,0.13,0.63,0.38,0.13,0.38,4,3,2,3,3,138,147,160,173,181,8.95,8.76666666666667,6.38333333333333,9.33333333333333,8.98333333333333,"SR","CD","CD","SR","CD",4,400
"86","KLN_C_2013","KLN_C","KLN","C",2013,2,1,1,0,2,0.88,0.88,0.38,0.13,0.38,4,1,1,2,4,143,156,168,177,194,6.26666666666667,6.95,7.58333333333333,6.63333333333333,8.61666666666667,"CD","AM","SR","AM","CD",4,400
"87","KLN_C_2014","KLN_C","KLN","C",2014,0,0,0,1,3,0.38,0.13,0.63,0.13,0.38,2,4,3,2,1,141,152,168,184,200,8.18333333333333,6.76666666666667,6.75,7.11666666666667,6.38333333333333,"CD","SR","CD","CD","ORG",4,400
"88","KLN_C_2015","KLN_C","KLN","C",2015,2,0,0,1,0,0.63,0.13,0.63,0.13,0.63,4,3,4,4,3,145,159,173,195,215,8.95,6.01666666666667,6.7,6.36666666666667,7.51666666666667,"BSV","SR","SR","SR","SR",4,400
"89","KLN_C_2016","KLN_C","KLN","C",2016,3,2,0,1,2,0.38,0.38,0.13,0.63,0.88,1,2,4,4,1,151,168,179,192,215,6.63333333333333,7.1,7.98333333333333,9.51666666666667,6.4,"SBN","ACW","SR","SBN","JJC",4,400
"90","KLN_C_2017","KLN_C","KLN","C",2017,0,0,1,1,0,0.63,0.13,0.13,0.13,0.13,3,4,1,1,2,152,161,178,189,204,8.81666666666667,7.31666666666667,6.5,6.2,7.93333333333333,"JJC","SR","JJC","ALL","JJC",4,400
"91","KLN_C_2018","KLN_C","KLN","C",2018,1,1,0,0,2,0.13,0.63,0.88,0.13,0.88,3,1,2,1,4,146,161,174,190,199,8.73333333333333,7.95,7.25,6.26666666666667,9.1,"JJC","TMS","SR","TMS","BJE",4,400
"92","KLN_C_2021","KLN_C","KLN","C",2021,1,2,0,0,1,0.13,0.63,0.88,0.38,0.38,2,2,1,1,3,154,165,179,187,199,6.8,8.71666666666667,6.33333333333333,9.4,9.38333333333333,"JEM","JJC","JEM","JNA","JJC",4,400
"93","KLN_C_2022","KLN_C","KLN","C",2022,0,0,1,1,1,0.63,0.13,0.13,0.88,0.38,2,3,2,2,3,156,170,180,190,196,6.4,6.26666666666667,7.1,6.41666666666667,9.16666666666667,"HKG","WPT","JLS","JJC","JJC",4,400
"94","KLN_C_2023","KLN_C","KLN","C",2023,0,4,1,0,3,0.88,0.13,0.63,0.88,0.88,2,1,2,3,2,158,171,178,189,194,9.95,6.8,6.26666666666667,9.18333333333333,5.98333333333333,"WPT","JJC","JLS","JJC","JLS",4,400
"95","KLN_E_2007","KLN_E","KLN","E",2007,1,0,1,2,1,0.13,0.88,0.13,0.13,0.13,1,3,2.32,2,2,145,150,159,166,177,7.9,8.35,7.86666666666667,8.48333333333333,6.31666666666667,"JF","JF","CB","FP","CW",5.84,584
"96","KLN_E_2008","KLN_E","KLN","E",2008,2,1,2,0,0,0.38,0.38,0.63,0.88,0.88,4,4,3,2,2,134,140,146,156,165,6.1,9.15,8.56666666666667,8.83333333333333,6.46666666666667,"CW","SR","CW","CW","SR",5.84,584
"97","KLN_E_2009","KLN_E","KLN","E",2009,1,4,0,0,3,0.13,0.13,0.38,0.13,0.63,3,3,3,2,3,134,168,170,182,201,6.7,8.2,6.48333333333333,8.8,8.46666666666667,"EH","SR","EH","FP","EH",5.84,584
"98","KLN_E_2010","KLN_E","KLN","E",2010,0,2,1,2,0,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.51666666666667,6.86666666666667,6.96666666666667,6.93333333333333,6.8,"SR","SR","TH","SR","TH",5,500
"99","KLN_E_2011","KLN_E","KLN","E",2011,0,0,1,0,0,0.63,0.13,0.88,0.13,0.13,2,3,2,1,2,139,147,162,175,183,7.03333333333333,6.8,6.16666666666667,6.16666666666667,6.11666666666667,"TL","SR","CP","CP","CD",5,500
"100","KLN_E_2012","KLN_E","KLN","E",2012,0,1,0,0,1,0.13,0.63,0.38,0.13,0.38,4,3,2,3,3,138,147,160,173,181,8.68333333333333,8.65,6.25,9.18333333333333,8.85,"SR","CD","CD","SR","CD",5,500
"101","KLN_E_2013","KLN_E","KLN","E",2013,3,3,0,1,1,0.88,0.88,0.38,0.38,0.38,4,1,1,2,3,143,156,168,177,194,6.41666666666667,6.81666666666667,7.48333333333333,6.43333333333333,8.4,"CD","AM","CD","AM","CD",5,500
"102","KLN_E_2014","KLN_E","KLN","E",2014,1,0,0,3,7,0.38,0.13,0.63,0.13,0.38,2,4,4,2,1,141,152,168,184,200,8.06666666666667,6.63333333333333,6.66666666666667,6.98333333333333,6.25,"CD","SR","CD","CD","ORG",4,400
