"","past_pat_year","past_pat","pasture_id","patch_id","year","HESP_1","HESP_2","HESP_3","HESP_4","HESP_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"46","KLN_E_2018","KLN_E","KLN","E",2018,1,1,0,5,4,0.13,0.63,0.88,0.13,0.63,1,1,2,1,4,146,161,174,190,199,8.56666666666667,7.8,7.11666666666667,6.1,8.93333333333333,"JJC","TMS","SR","TMS","BJE",4,400
"47","KLN_W_2007","KLN_W","KLN","W",2007,2,0,0,1,0,0.13,0.63,0.13,0.13,0.13,1,2,4,2,2,145,150,159,166,177,8.33333333333333,8.71666666666667,7.81666666666667,8.1,6.63333333333333,"JF","CW","FP","FP","CW",3.77,377
"48","KLN_W_2008","KLN_W","KLN","W",2008,1,0,0,1,1,0.38,0.38,0.63,0.88,0.88,3,4,3,2,2,134,140,146,156,165,6.55,9.45,8.81666666666667,9.06666666666667,6.75,"CW","SR","CW","CW","SR",3.77,377
"49","KLN_W_2009","KLN_W","KLN","W",2009,0,0,1,0,1,0.13,0.13,0.38,0.13,0.63,3,3,3,3,3,134,168,170,182,201,7.91666666666667,8.51666666666667,7.1,9.33333333333333,8.13333333333333,"EH","SR","EH","FP","EH",3.77,377
"50","KLN_W_2010","KLN_W","KLN","W",2010,0,2,2,1,2,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.95,7.2,7.53333333333333,7.28333333333333,7.25,"SR","SR","TH","SR","TL",3,300
"51","KLN_W_2011","KLN_W","KLN","W",2011,6,2,3,1,2,0.36,0.38,0.88,0.13,0.13,3,3,2,1,2,139,147,162,175,183,7.85,7.2,6.48333333333333,6.55,6.56666666666667,"TL","SR","CP","CP","CD",3,300
"52","KLN_W_2016","KLN_W","KLN","W",2016,2,0,0,0,0,0.38,0.38,0.13,0.63,0.88,2,2,4,4,2,151,168,179,192,215,7.03333333333333,7.4,8.18333333333333,9.7,6.65,"SBN","ACW","SR","SBN","JJC",3,300
"53","KLN_W_2017","KLN_W","KLN","W",2017,2,2,1,2,1,0.63,0.13,0.13,0.13,0.13,1,4,1,1,2,152,161,178,189,204,8.93333333333333,7.46666666666667,6.65,6.36666666666667,8.06666666666667,"JJC","SR","JJC","ALL","JJC",3,300
"54","KLN_W_2022","KLN_W","KLN","W",2022,0,1,0,0,0,0.63,0.13,0.38,0.88,0.38,2,3,3,2,4,156,170,180,190,196,6.58333333333333,6.48333333333333,7.35,6.53333333333333,9.3,"HKG","WPT","JLS","JJC","JJC",2.75,275
"55","KLT_E_2007","KLT_E","KLT","E",2007,0,0,2,0,0,0.88,0.63,0.38,0.13,0.13,4,2,2,2,1,143,150,159,166,177,7.72,6.55,6.41666666666667,8.05,6.31666666666667,"FP","CW","CB","CW","JF",4.94,494
"56","KLT_E_2008","KLT_E","KLT","E",2008,1,0,0,2,2,0.63,0.63,0.63,0.13,0.38,4,4,3,1,2,134,140,146,153,170,8.28333333333333,8.33333333333333,7.78333333333333,9.03333333333333,8.63333333333333,"CW","SR","CW","CW","FP",4.94,494
"57","KLT_E_2010","KLT_E","KLT","E",2010,0,1,0,3,1,0.13,0.13,0.38,0.13,0.13,2,3,4,1,1,139,149,168,181,190,8.01666666666667,8.06666666666667,7.9,6.56666666666667,6.76666666666667,"SR","SR","SR","TL","TL",3,300
"58","KLT_E_2011","KLT_E","KLT","E",2011,0,2,0,0,0,0.13,0.88,0.63,0.63,0.13,3,3,3,4,3,143,148,162,172,183,8.78333333333333,7.25,7.4,6.61666666666667,7.56666666666667,"CP","SR","CP","CP","CD",3,300
"59","KLT_E_2013","KLT_E","KLT","E",2013,2,1,1,0,0,0.13,0.38,0.38,0.38,0.38,3,1,2,2,2,144,156,168,177,189,6.96666666666667,6.31666666666667,8.08333333333333,6.41666666666667,6.33333333333333,"SR","AM","SR","SR","AM",3,300
"60","KLT_E_2015","KLT_E","KLT","E",2015,2,0,0,0,0,0.88,0.13,0.13,0.38,0.63,4,3,2,2,3,145,161,174,195,215,8.66666666666667,6.36666666666667,6.21666666666667,6.51666666666667,6.31666666666667,"SBN","BSV","SR","BSV","SR",3,300
"61","KLT_E_2017","KLT_E","KLT","E",2017,1,0,0,0,0,0.38,0.13,0.13,0.13,0.13,1,3,2,1,2,146,162,178,190,205,9.35,6.06666666666667,6.43333333333333,6.38333333333333,6.61666666666667,"ALL","JJC","ALL","JJC","JD",3,300
"62","KLT_E_2018","KLT_E","KLT","E",2018,2,3,0,0,0,0.13,0.38,0.38,0.13,0.13,1,1,3,1,2,146,161,175,190,202,6.4,6.46666666666667,7.1,7.56666666666667,7.8,"JJC","TMS","SR","TMS","TMS",3,300
"63","KLT_E_2021","KLT_E","KLT","E",2021,1,1,1,1,0,0.38,0.13,0.63,0.38,0.63,3,2,1,1,2,150,166,179,187,199,6.61666666666667,8.3,7.73333333333333,7.25,6.75,"WPT","JJC","HKG","JNA","JEM",3,300
"64","KLT_E_2022","KLT_E","KLT","E",2022,2,1,0,1,1,0.63,0.13,0.38,0.88,0.63,2,2,2,2,4,155,166,177,192,196,6.4,6.43333333333333,6.26666666666667,7.16666666666667,6.63333333333333,"WPT","NGP","JJC","HKG","NGP",3,300
"65","KLT_S_2008","KLT_S","KLT","S",2008,0,0,2,0,0,0.63,0.38,0.63,0.13,0.38,4,3,3,1,2,134,140,146,153,176,7.9,8.13333333333333,7.46666666666667,8.91666666666667,5.83333333333333,"CW","JF","CW","JF","CW",5.65,565
"66","KLT_S_2010","KLT_S","KLT","S",2010,0,0,0,1,1,0.13,0.13,0.38,0.13,0.13,2,3,4,1,1,139,149,168,181,190,8.71666666666667,9.06666666666667,8.53333333333333,7.81666666666667,7.76666666666667,"SR","SR","SR","TL","TL",3,300
"67","KLT_S_2011","KLT_S","KLT","S",2011,1,1,1,0,0,0.13,0.88,0.63,0.38,0.13,3,3,3,4,3,143,148,162,172,183,9.63333333333333,8.15,7.95,7.18333333333333,8.23333333333333,"CP","SR","CP","CP","CD",3,300
"68","KLT_S_2013","KLT_S","KLT","S",2013,0,2,0,1,1,0.13,0.38,0.38,0.38,0.88,3,1,2,3,2,144,156,168,177,189,7.5,7.5,8.85,7.23333333333333,7.65,"SR","AM","SR","SR","AM",3,300
"69","KLT_S_2015","KLT_S","KLT","S",2015,1,0,0,0,0,0.88,0.13,0.13,0.38,0.63,4,3,3,2,3,145,161,174,195,215,9.88333333333333,7.18333333333333,6.86666666666667,7.45,6.95,"SBN","BSV","SR","BSV","SR",3,300
"70","KLT_S_2017","KLT_S","KLT","S",2017,2,0,1,0,3,0.13,0.13,0.13,0.13,0.13,1,3,2,1,2,148,162,178,190,205,6.03333333333333,7.01666666666667,7.58333333333333,7.53333333333333,7.78333333333333,"ALL","JJC","ALL","JJC","JD",3,300
"71","KLT_S_2018","KLT_S","KLT","S",2018,1,0,0,1,0,0.13,0.38,0.38,0.13,0.13,1,1,3,2,3,146,161,175,190,202,7.6,7.18333333333333,8.23333333333333,8.35,8.45,"JJC","TMS","SR","TMS","TMS",3,300
"72","KLT_S_2021","KLT_S","KLT","S",2021,1,1,2,0,2,0.38,0.13,0.63,0.13,0.13,3,2,1,2,1,150,166,179,187,199,8.5,9.35,9.3,8.75,7.91666666666667,"WPT","JJC","HKG","JNA","JEM",3,300
"73","KLT_S_2022","KLT_S","KLT","S",2022,2,0,0,0,0,0.63,0.13,0.38,0.63,0.63,2,2,1,1,4,155,166,177,192,196,7.68333333333333,7.71666666666667,7.41666666666667,8.26666666666667,7.61666666666667,"WPT","NGP","JJC","HKG","NGP",3,300
"74","KLT_W_2007","KLT_W","KLT","W",2007,NA,2,1,1,3,0.36,0.88,0.13,0.13,0.13,2.29,4,4,2,1,147.14,150,159,166,177,7.72,6.76666666666667,6.2,7.81666666666667,6.13333333333333,NA,"JF","CB","CW","JF",6.76,676
"75","KLT_W_2008","KLT_W","KLT","W",2008,2,0,4,1,6,0.88,0.63,0.88,0.13,0.13,4,4,3,1,2,134,140,146,153,170,8,8.16666666666667,7.51666666666667,8.93333333333333,8.46666666666667,"JF","SR","JF","CW","FP",6.76,676
"76","KLT_W_2010","KLT_W","KLT","W",2010,3,3,2,3,3,0.13,0.13,0.38,0.13,0.13,2,2,4,1,1,139,149,168,181,190,7.91666666666667,7.93333333333333,7.8,6.35,6.61666666666667,"SR","SR","SR","TL","TL",6,600
"77","KLT_W_2011","KLT_W","KLT","W",2011,0,0,0,1,0,0.13,0.38,0.63,0.38,0.13,3,3,3,4,3,143,148,162,172,183,8.68333333333333,7.13333333333333,7.26666666666667,6.5,7.45,"CP","SR","CP","CP","CD",6,600
"78","KLT_W_2013","KLT_W","KLT","W",2013,2,1,0,0,1,0.13,0.38,0.38,0.38,0.38,3,1,1,2,2,144,156,168,177,189,6.86666666666667,6.75,7.95,6.26666666666667,6.18333333333333,"SR","AM","SR","SR","AM",6,600
"79","KLT_W_2015","KLT_W","KLT","W",2015,3,0,0,0,0,0.88,0.13,0.13,0.38,0.63,4,3,2,2,3,145,161,174,195,215,8.51666666666667,6.25,6.08333333333333,6.3,6.21666666666667,"SBN","BSV","SR","BSV","SR",6,600
"80","KLT_W_2017","KLT_W","KLT","W",2017,1,1,2,3,3,0.13,0.13,0.13,0.13,0.13,1,3,2,1,1,148,162,178,190,205,7.21666666666667,5.93333333333333,6.2,6.16666666666667,6.46666666666667,"ALL","JJC","ALL","JJC","JD",6,600
"81","KLT_W_2018","KLT_W","KLT","W",2018,2,0,0,2,3,0.13,0.38,0.38,0.13,0.13,1,1,3,1,2,146,161,175,190,202,6.11666666666667,6.18333333333333,6.98333333333333,7.41666666666667,7.65,"JJC","TMS","SR","TMS","TMS",6,600
"82","KLT_W_2021","KLT_W","KLT","W",2021,3,0,0,1,1,0.38,0.13,0.63,0.38,0.63,3,2,1,1,2,150,166,179,187,199,6.23333333333333,8.13333333333333,7.56666666666667,6.96666666666667,6.53333333333333,"WPT","JJC","HKG","JNA","JEM",6,600
"83","KLT_W_2022","KLT_W","KLT","W",2022,2,1,0,1,3,0.63,0.13,0.38,0.88,0.63,2,2,2,2,4,155,166,177,192,196,6.15,6.13333333333333,6.06666666666667,6.96666666666667,6.45,"WPT","NGP","JJC","HKG","NGP",6,600
"84","LTR_C_2007","LTR_C","LTR","C",2007,0,0,0,1,0,0.13,0.13,0.13,0.13,0.13,2,2,3,3,2,141,149,155,165,177,8.41666666666667,7.88333333333333,6.31666666666667,6.21666666666667,8.11666666666667,"JF","CW","JF","CW","FP",5.97,597
"85","LTR_C_2008","LTR_C","LTR","C",2008,2,1,0,0,2,0.63,0.63,0.13,0.63,0.88,3,2,1,2,2,131,136,142,150,160,9.73333333333333,8.83333333333333,6.23333333333333,6.21666666666667,8.06666666666667,"JF","CW","SR","FP","CW",5.97,597
"86","LTR_C_2010","LTR_C","LTR","C",2010,0,1,0,0,0,0.13,0.13,0.13,0.38,0.63,1,1,3,5,3,145,152,160,177,189,8.26666666666667,8.66666666666667,6.75,8.31666666666667,6.63333333333333,"SR","TL","SR","SR","SR",5,500
"87","LTR_C_2011","LTR_C","LTR","C",2011,2,1,0,0,1,0.38,0.38,0.13,0.63,0.13,4,4,3,3,3,146,154,158,171,182,7.25,6.75,8.21666666666667,8.53333333333333,6.9,"SR","CP","SR","CD","SR",5,500
"88","LTR_C_2017","LTR_C","LTR","C",2017,1,0,0,0,0,0.13,0.13,0.13,0.38,0.38,3,3,2,1,1,147,161,175,188,204,5.76666666666667,6.4,8.56666666666667,9.05,8.3,"JD","JD","JJC","JD","JD",5,500
"89","LTR_C_2021","LTR_C","LTR","C",2021,1,0,0,0,0,0.38,0.13,0.63,0.88,0.13,1,2,1,3,1,153,166,178,192,201,6.06666666666667,5.93333333333333,6.08333333333333,8.08333333333333,6.31666666666667,"JJC","WPT","JEM","JNA","JEM",5,500
"90","LTR_C_2022","LTR_C","LTR","C",2022,1,0,0,0,0,0.13,0.63,0.13,0.13,0.88,3,3,1,2,1,158,166,180,191,198,7.58333333333333,6.36666666666667,6.08333333333333,6.38333333333333,8.11666666666667,"NGP","JJC","HKG","JLS","JJC",5,500
"91","LTR_E_2010","LTR_E","LTR","E",2010,0,1,0,0,0,0.13,0.13,0.13,0.13,0.63,2,1,3,5,3,145,152,160,177,189,9.05,9.66666666666667,7.5,9.01666666666667,7.35,"SR","TL","SR","SR","SR",6,600
"92","LTR_E_2011","LTR_E","LTR","E",2011,1,1,1,0,1,0.38,0.38,0.13,0.38,0.13,4,3,3,4,3,146,154,158,171,182,7.96666666666667,7.45,8.86666666666667,9.3,7.63333333333333,"SR","CP","SR","CD","SR",6,600
"93","LTR_E_2013","LTR_E","LTR","E",2013,0,0,1,0,0,0.88,0.13,0.88,0.38,0.38,3,1,3,1,2,143,154,163,178,189,7.65,8.1,7.16666666666667,7.51666666666667,9.08333333333333,"SR","AM","CD","CD","AM",6,600
"94","LTR_W_2007","LTR_W","LTR","W",2007,0,0,0,1,1,0.13,0.13,0.13,0.13,0.13,2,2,3,2,2,141,149,155,165,177,9.7,8.11666666666667,6.46666666666667,6.43333333333333,8.3,"FP","CW","JF","CW","FP",6.53,653
"95","LTR_W_2008","LTR_W","LTR","W",2008,2,1,1,1,4,0.63,0.63,0.13,0.63,0.88,3,2,1,3,2,131,136,142,150,160,8.5,8.2,6.85,6.36666666666667,8.06666666666667,"JF","CW","SR","FP","JF",6.53,653
"96","LTR_W_2009","LTR_W","LTR","W",2009,0,0,1,1,0,0.13,0.13,0.88,0.13,0.88,1,1,2,1,3,155,160,167,188,190,9.33333333333333,6.88333333333333,6.85,8.01666666666667,7.7,"SR","EH","SR","EH","SR",6.53,653
"97","LTR_W_2010","LTR_W","LTR","W",2010,1,0,0,2,0,0.36,0.13,0.13,0.38,0.63,2,1,3,5,3,145,152,160,177,189,8.35,8.86666666666667,6.88333333333333,8.41666666666667,6.75,"SR","TL","SR","SR","SR",6,600
"98","LTR_W_2011","LTR_W","LTR","W",2011,1,3,1,2,0,0.38,0.38,0.13,0.63,0.13,4,4,3,3,3,146,154,158,171,182,7.36666666666667,6.9,8.31666666666667,8.63333333333333,7.01666666666667,"SR","CP","SR","CD","SR",6,600
"99","LTR_W_2016","LTR_W","LTR","W",2016,3,0,0,1,0,0.13,0.38,0.38,0.38,0.38,2,1,1,2,2,149,164,180,195,213,7.46666666666667,6.45,8.4,6.28333333333333,6.66666666666667,"SR","JJC","ACW","SBN","JJC",6,600
"100","LTR_W_2017","LTR_W","LTR","W",2017,2,1,0,0,0,0.63,0.13,0.13,0.38,0.13,1,3,2,2,1,147,161,175,190,204,6.7,5.93333333333333,8.18333333333333,9.23333333333333,8.45,"ALL","JD","JJC","JD","JD",6,600
"101","LTR_W_2022","LTR_W","LTR","W",2022,0,2,1,1,0,0.13,0.63,0.38,0.13,0.88,3,3,2,2,2,158,166,180,191,198,7.93333333333333,6.51666666666667,6.38333333333333,6.7,8.31666666666667,"NGP","JJC","HKG","JLS","JJC",6,600
"102","PAW_E_2007","PAW_E","PAW","E",2007,1,0,0,0,0,0.13,0.13,0.88,0.38,0.13,2,2,4,2,2,141,149,169,176,186,7.2,8.33333333333333,8.65,6.53333333333333,8.5,"FP","CB","FP","JF","CW",4.5,449.85
