"","past_pat_year_visit","Tot_Abund","Obl_Abund","Obl_Fac_Abund","Tot_Rich","Obl_Rich","Obl_Fac_Rich","past_pat_year","observer","start_time","clouds","wind","precipitation","cattle_interference","julian_date","year","pasture_id","patch_id","visit","area_surveyed","transect_length"
"65","235_N_2018_5",26,18,23,7,5,7,"235_N_2018","BJE",7.2,"P. Cloudy","4-7","None",FALSE,199,2018,"235","N","5",8,800
"66","235_N_2021_1",26,24,26,6,4,6,"235_N_2021","JJC",6.95,"Overcast","0-1","None",FALSE,151,2021,"235","N","1",8,800
"67","235_N_2021_2",25,23,25,5,4,5,"235_N_2021","JJC",7.21666666666667,"P. Cloudy","0-1","None",FALSE,165,2021,"235","N","2",8,800
"68","235_N_2021_3",23,15,21,6,4,5,"235_N_2021","JNA",7.95,"Overcast","0-1","None",FALSE,179,2021,"235","N","3",8,800
"69","235_N_2021_4",31,22,27,9,5,8,"235_N_2021","JEM",8.15,"Overcast","4-7","None",FALSE,192,2021,"235","N","4",8,800
"70","235_N_2021_5",21,14,21,4,3,4,"235_N_2021","JJC",7.5,"Clear","0-1","None",FALSE,199,2021,"235","N","5",8,800
"71","235_N_2022_1",26,17,23,5,4,5,"235_N_2022","JJC",6.41666666666667,"P. Cloudy","0-1","None",FALSE,156,2022,"235","N","1",8,800
"72","235_N_2022_2",16,13,16,6,4,6,"235_N_2022","HKG",7.53333333333333,"Clear","1-3","None",FALSE,168,2022,"235","N","2",8,800
"73","235_N_2022_3",30,21,29,6,4,6,"235_N_2022","WPT",8.71666666666667,"Clear","4-7","None",TRUE,179,2022,"235","N","3",8,800
"74","235_N_2022_4",19,17,19,5,4,5,"235_N_2022","NGP",7.68333333333333,"Clear","4-7","None",FALSE,191,2022,"235","N","4",8,800
"75","235_N_2022_5",18,9,16,6,4,5,"235_N_2022","JJC",7.5,"P. Cloudy","4-7","None",FALSE,196,2022,"235","N","5",8,800
"76","235_N_2023_1",16,9,13,6,3,5,"235_N_2023","JJC",9.15,"P. Cloudy","0-1","None",FALSE,154,2023,"235","N","1",8,800
"77","235_N_2023_2",16,7,16,5,2,5,"235_N_2023","WPT",8.95,"Overcast","4-7","None",FALSE,168,2023,"235","N","2",8,800
"78","235_N_2023_3",17,11,13,9,4,6,"235_N_2023","JJC",9.48333333333333,"Clear","4-7","None",FALSE,183,2023,"235","N","3",8,800
"79","235_N_2023_4",21,7,20,8,4,8,"235_N_2023","JJC",8.53333333333333,"Clear","4-7","None",TRUE,191,2023,"235","N","4",8,800
"80","235_N_2023_5",14,9,11,7,3,5,"235_N_2023","JLS",7.9,"Clear","4-7","None",FALSE,195,2023,"235","N","5",8,800
"81","235_S_2014_1",37,18,34,9,4,6,"235_S_2014","CD",6.16666666666667,"P. Cloudy","1-3","None",FALSE,141,2014,"235","S","1",9,900
"82","235_S_2014_2",19,10,19,7,5,7,"235_S_2014","SR",7.56666666666667,"P. Cloudy","8-12","None",FALSE,152,2014,"235","S","2",9,900
"83","235_S_2014_3",33,15,31,8,3,6,"235_S_2014","CD",7.51666666666667,"P. Cloudy","8-12","None",FALSE,168,2014,"235","S","3",9,900
"84","235_S_2014_4",55,35,52,9,4,7,"235_S_2014","ORG",5.86666666666667,"Clear","4-7","None",FALSE,184,2014,"235","S","4",9,900
"85","235_S_2014_5",47,19,43,9,5,7,"235_S_2014","CD",6.2,"P. Cloudy","0-1","None",FALSE,200,2014,"235","S","5",9,900
"86","235_S_2015_1",13,4,7,10,4,5,"235_S_2015","BSV",6.56666666666667,"Clear","1-3","None",FALSE,141,2015,"235","S","1",9,900
"87","235_S_2015_2",9,4,7,6,3,5,"235_S_2015","BSV",7.91666666666667,"P. Cloudy","4-7","None",FALSE,161,2015,"235","S","2",9,900
"88","235_S_2015_3",25,17,22,6,3,5,"235_S_2015","BSV",6.6,"Overcast","1-3","None",FALSE,177,2015,"235","S","3",9,900
"89","235_S_2015_4",35,24,34,8,5,7,"235_S_2015","BSV",6.53333333333333,"Clear","4-7","None",FALSE,193,2015,"235","S","4",9,900
"90","235_S_2015_5",30,15,28,9,4,7,"235_S_2015","BSV",6.7,"Clear","1-3","None",FALSE,211,2015,"235","S","5",9,900
"91","235_S_2016_1",41,18,35,12,5,11,"235_S_2016","SBN",7.08333333333333,"Clear","0-1","None",FALSE,150,2016,"235","S","1",9,900
"92","235_S_2016_2",40,20,38,9,5,8,"235_S_2016","JJC",6.4,"P. Cloudy","0-1","None",FALSE,166,2016,"235","S","2",9,900
"93","235_S_2016_3",27,19,26,5,3,5,"235_S_2016","SR",8.86666666666667,"Clear","8-12","None",FALSE,177,2016,"235","S","3",9,900
"94","235_S_2016_4",29,11,26,7,2,5,"235_S_2016","ACW",6.43333333333333,"P. Cloudy","4-7","None",FALSE,195,2016,"235","S","4",9,900
"95","235_S_2016_5",23,14,19,11,4,8,"235_S_2016","SBN",6.46666666666667,"P. Cloudy","1-3","None",FALSE,211,2016,"235","S","5",9,900
"96","235_S_2017_1",36,21,35,11,6,11,"235_S_2017","JJC",5.91666666666667,"P. Cloudy","4-7","None",FALSE,150,2017,"235","S","1",9,900
"97","235_S_2017_2",33,17,31,11,6,9,"235_S_2017","ALL",6.3,"Clear","8-12","None",FALSE,164,2017,"235","S","2",9,900
"98","235_S_2017_3",36,26,32,11,6,8,"235_S_2017","JJC",6.73333333333333,"Clear","1-3","None",FALSE,176,2017,"235","S","3",9,900
"99","235_S_2017_4",42,39,41,8,6,8,"235_S_2017","ALL",7.31666666666667,"Clear","0-1","None",FALSE,189,2017,"235","S","4",9,900
"100","235_S_2017_5",19,16,19,8,5,8,"235_S_2017","JJC",6.38333333333333,"Clear","0-1","None",FALSE,205,2017,"235","S","5",9,900
"101","235_S_2018_1",12,8,12,5,4,5,"235_S_2018","SR",7.05,"Clear","8-12","None",FALSE,147,2018,"235","S","1",9,900
"102","235_S_2018_2",22,14,21,7,4,6,"235_S_2018","JJC",6.3,"P. Cloudy","1-3","None",FALSE,161,2018,"235","S","2",9,900
"103","235_S_2018_3",16,12,16,5,3,5,"235_S_2018","SR",8.06666666666667,"Overcast","1-3","None",FALSE,174,2018,"235","S","3",9,900
"104","235_S_2018_4",23,17,22,7,3,6,"235_S_2018","TMS",6.06666666666667,"P. Cloudy","1-3","None",FALSE,187,2018,"235","S","4",9,900
"105","235_S_2018_5",19,14,17,8,4,6,"235_S_2018","BJE",6.33333333333333,"M. Cloudy","4-7","None",FALSE,199,2018,"235","S","5",9,900
"106","235_S_2021_1",12,8,11,4,2,4,"235_S_2021","JJC",6.08333333333333,"Overcast","0-1","None",FALSE,151,2021,"235","S","1",9,900
"107","235_S_2021_2",22,11,18,9,3,7,"235_S_2021","JJC",5.95,"P. Cloudy","4-7","None",FALSE,165,2021,"235","S","2",9,900
"108","235_S_2021_3",14,8,14,5,4,5,"235_S_2021","JNA",6.13333333333333,"Overcast","0-1","None",FALSE,179,2021,"235","S","3",9,900
"109","235_S_2021_4",11,6,11,6,3,6,"235_S_2021","JEM",6.5,"Overcast","4-7","None",FALSE,192,2021,"235","S","4",9,900
"110","235_S_2021_5",12,7,11,5,3,5,"235_S_2021","JJC",6.21666666666667,"Clear","0-1","None",FALSE,199,2021,"235","S","5",9,900
"111","235_S_2022_1",22,14,22,7,4,7,"235_S_2022","JJC",6.78333333333333,"Overcast","4-7","None",FALSE,158,2022,"235","S","1",9,900
"112","235_S_2022_2",18,14,16,8,4,6,"235_S_2022","HKG",6.05,"Clear","1-3","None",FALSE,168,2022,"235","S","2",9,900
"113","235_S_2022_3",38,31,34,9,4,6,"235_S_2022","WPT",6.28333333333333,"P. Cloudy","4-7","None",FALSE,179,2022,"235","S","3",9,900
"114","235_S_2022_4",44,35,41,9,4,7,"235_S_2022","NGP",6.4,"Clear","4-7","None",FALSE,191,2022,"235","S","4",9,900
"115","235_S_2022_5",39,25,37,6,4,6,"235_S_2022","JJC",6.55,"M. Cloudy","1-3","None",FALSE,196,2022,"235","S","5",9,900
"116","235_S_2023_1",36,18,31,12,5,8,"235_S_2023","JJC",6.31666666666667,"P. Cloudy","0-1","None",FALSE,154,2023,"235","S","1",9,900
"117","235_S_2023_2",50,31,49,10,5,9,"235_S_2023","WPT",6.61666666666667,"M. Cloudy","4-7","None",FALSE,168,2023,"235","S","2",9,900
"118","235_S_2023_3",49,35,46,9,5,7,"235_S_2023","JJC",6.03333333333333,"Clear","0-1","None",FALSE,178,2023,"235","S","3",9,900
"119","235_S_2023_4",34,26,34,6,3,6,"235_S_2023","JJC",6.1,"Overcast","4-7","None",FALSE,189,2023,"235","S","4",9,900
"120","235_S_2023_5",44,29,42,10,6,9,"235_S_2023","JLS",6.35,"Clear","4-7","None",TRUE,195,2023,"235","S","5",9,900
"121","BSH_C_2014_1",6,1,2,6,1,2,"BSH_C_2014","CD",6.26666666666667,"Clear","0-1","None",FALSE,184,2014,"BSH","C","1",2,200
"122","BSH_C_2014_2",4,1,1,3,1,1,"BSH_C_2014","ORG",7.93333333333333,"Clear","1-3","None",FALSE,200,2014,"BSH","C","2",2,200
"123","BSH_C_2015_1",2,1,2,2,1,2,"BSH_C_2015","SR",6.86666666666667,"Clear","4-7","None",FALSE,149,2015,"BSH","C","1",2,200
"124","BSH_C_2015_2",5,2,4,3,1,2,"BSH_C_2015","SR",7.01666666666667,"Clear","4-7","None",FALSE,159,2015,"BSH","C","2",2,200
"125","BSH_C_2015_3",5,2,4,5,2,4,"BSH_C_2015","BSV",6.25,"Clear","1-3","None",FALSE,174,2015,"BSH","C","3",2,200
"126","BSH_C_2015_4",3,2,3,3,2,3,"BSH_C_2015","BSV",9.63333333333333,"Clear","4-7","None",FALSE,193,2015,"BSH","C","4",2,200
"127","BSH_C_2015_5",8,7,8,4,3,4,"BSH_C_2015","SR",6.73333333333333,"M. Cloudy","1-3","None",FALSE,215,2015,"BSH","C","5",2,200
"128","BSH_C_2016_1",16,2,9,9,2,5,"BSH_C_2016","SBN",6.98333333333333,"M. Cloudy","1-3","None",FALSE,149,2016,"BSH","C","1",2,200
"129","BSH_C_2016_2",17,4,11,7,2,5,"BSH_C_2016","JJC",6.85,"Clear","0-1","None",FALSE,165,2016,"BSH","C","2",2,200
"130","BSH_C_2016_3",7,1,5,3,1,2,"BSH_C_2016","SR",6.63333333333333,"P. Cloudy","1-3","None",FALSE,180,2016,"BSH","C","3",2,200
"131","BSH_C_2016_4",15,6,11,7,2,5,"BSH_C_2016","SBN",8.2,"Clear","4-7","None",FALSE,193,2016,"BSH","C","4",2,200
"132","BSH_C_2016_5",13,6,8,6,2,4,"BSH_C_2016","ACW",7.28333333333333,"P. Cloudy","0-1","None",FALSE,209,2016,"BSH","C","5",2,200
"133","BSH_C_2017_1",14,3,6,5,1,2,"BSH_C_2017","JD",9.18333333333333,"Clear","1-3","None",FALSE,146,2017,"BSH","C","1",2,200
"134","BSH_C_2017_2",11,1,4,6,1,3,"BSH_C_2017","ALL",6.51666666666667,"Clear","8-12","None",FALSE,162,2017,"BSH","C","2",2,200
"135","BSH_C_2017_3",9,2,6,5,1,3,"BSH_C_2017","ALL",8.6,"Clear","1-3","None",FALSE,178,2017,"BSH","C","3",2,200
"136","BSH_C_2017_4",10,2,8,6,1,4,"BSH_C_2017","JJC",8.55,"Clear","0-1","None",FALSE,190,2017,"BSH","C","4",2,200
"137","BSH_C_2017_5",10,3,6,6,1,4,"BSH_C_2017","JD",8.66666666666667,"Clear","1-3","None",FALSE,205,2017,"BSH","C","5",2,200
"138","BSH_C_2021_1",10,4,8,5,1,3,"BSH_C_2021","WPT",7.66666666666667,"Clear","1-3","None",FALSE,154,2021,"BSH","C","1",2,200
"139","BSH_C_2021_2",8,3,6,4,1,3,"BSH_C_2021","JJC",6.56666666666667,"P. Cloudy","1-3","None",FALSE,167,2021,"BSH","C","2",2,200
"140","BSH_C_2021_3",14,3,7,8,1,3,"BSH_C_2021","JEM",8.31666666666667,"Overcast","0-1","None",FALSE,179,2021,"BSH","C","3",2,200
"141","BSH_C_2021_4",10,2,9,4,1,3,"BSH_C_2021","JNA",7.28333333333333,"Clear","0-1","None",FALSE,186,2021,"BSH","C","4",2,200
"142","BSH_C_2021_5",9,6,8,6,3,5,"BSH_C_2021","JEM",9.3,"Clear","0-1","None",FALSE,199,2021,"BSH","C","5",2,200
"143","BSH_C_2022_1",10,1,5,5,1,4,"BSH_C_2022","JJC",8.56666666666667,"M. Cloudy","1-3","None",FALSE,158,2022,"BSH","C","1",2,200
"144","BSH_C_2022_2",5,1,4,3,1,3,"BSH_C_2022","HKG",8.9,"P. Cloudy","4-7","None",FALSE,169,2022,"BSH","C","2",2,200
"145","BSH_C_2022_3",11,3,9,7,1,5,"BSH_C_2022","JLS",7.03333333333333,"P. Cloudy","0-1","None",FALSE,179,2022,"BSH","C","3",2,200
"146","BSH_C_2022_4",2,1,2,2,1,2,"BSH_C_2022","JJC",7.98333333333333,"M. Cloudy","1-3","None",FALSE,190,2022,"BSH","C","4",2,200
"147","BSH_C_2022_5",9,4,9,3,1,3,"BSH_C_2022","NGP",9,"M. Cloudy","8-12","None",FALSE,196,2022,"BSH","C","5",2,200
"148","BSH_C_2023_1",9,2,9,5,1,5,"BSH_C_2023","WPT",9.18333333333333,"Clear","4-7","None",FALSE,154,2023,"BSH","C","1",2,200
"149","BSH_C_2023_2",4,NA,3,2,NA,1,"BSH_C_2023","JJC",8.83333333333333,"Clear","4-7","None",FALSE,172,2023,"BSH","C","2",2,200
"150","BSH_C_2023_3",6,NA,6,3,NA,3,"BSH_C_2023","JJC",7.7,"Clear","0-1","None",FALSE,184,2023,"BSH","C","3",2,200
"151","BSH_C_2023_4",11,3,9,5,1,3,"BSH_C_2023","JLS",6.88333333333333,"Clear","0-1","None",FALSE,191,2023,"BSH","C","4",2,200
"152","BSH_C_2023_5",8,2,7,5,1,4,"BSH_C_2023","HKG",8.7,"Clear","0-1","None",FALSE,194,2023,"BSH","C","5",2,200
"153","BSH_N_2014_1",3,2,3,3,2,3,"BSH_N_2014","CD",6.43333333333333,"Clear","0-1","None",FALSE,184,2014,"BSH","N","1",2,200
"154","BSH_N_2014_2",5,3,4,5,3,4,"BSH_N_2014","ORG",8.06666666666667,"Clear","1-3","None",FALSE,200,2014,"BSH","N","2",2,200
"155","BSH_N_2015_1",5,4,5,3,2,3,"BSH_N_2015","SR",7.11666666666667,"Clear","4-7","None",FALSE,149,2015,"BSH","N","1",2,200
"156","BSH_N_2015_3",1,1,1,1,1,1,"BSH_N_2015","BSV",6.38333333333333,"Clear","1-3","None",FALSE,174,2015,"BSH","N","3",2,200
"157","BSH_N_2015_4",5,2,2,3,2,2,"BSH_N_2015","BSV",9.81666666666667,"Clear","4-7","None",FALSE,193,2015,"BSH","N","4",2,200
"158","BSH_N_2015_5",3,3,3,3,3,3,"BSH_N_2015","SR",6.9,"P. Cloudy","1-3","None",FALSE,215,2015,"BSH","N","5",2,200
"159","BSH_N_2016_1",11,7,9,7,4,6,"BSH_N_2016","SBN",7.5,"Overcast","8-12","None",FALSE,149,2016,"BSH","N","1",2,200
"160","BSH_N_2016_2",6,4,6,4,2,4,"BSH_N_2016","JJC",7.31666666666667,"Clear","0-1","None",FALSE,165,2016,"BSH","N","2",2,200
"161","BSH_N_2016_3",10,7,10,3,2,3,"BSH_N_2016","SR",6.83333333333333,"P. Cloudy","4-7","None",FALSE,180,2016,"BSH","N","3",2,200
"162","BSH_N_2016_4",6,6,6,2,2,2,"BSH_N_2016","SBN",8.76666666666667,"Clear","4-7","None",FALSE,193,2016,"BSH","N","4",2,200
"163","BSH_N_2016_5",3,3,3,2,2,2,"BSH_N_2016","ACW",7.76666666666667,"P. Cloudy","0-1","None",FALSE,209,2016,"BSH","N","5",2,200
"164","BSH_N_2017_1",3,2,3,3,2,3,"BSH_N_2017","JD",9.01666666666667,"P. Cloudy","1-3","None",FALSE,146,2017,"BSH","N","1",2,200
"165","BSH_N_2017_2",2,1,2,2,1,2,"BSH_N_2017","ALL",6.35,"Clear","8-12","None",FALSE,162,2017,"BSH","N","2",2,200
"166","BSH_N_2017_3",4,1,3,4,1,3,"BSH_N_2017","ALL",8.41666666666667,"Clear","1-3","None",FALSE,178,2017,"BSH","N","3",2,200
"167","BSH_N_2017_4",4,1,1,2,1,1,"BSH_N_2017","JJC",8.38333333333333,"Clear","0-1","None",FALSE,190,2017,"BSH","N","4",2,200
"168","BSH_N_2017_5",4,2,3,3,1,2,"BSH_N_2017","JD",8.5,"Clear","1-3","None",FALSE,205,2017,"BSH","N","5",2,200
"169","BSH_N_2021_1",12,3,12,5,1,5,"BSH_N_2021","WPT",7.21666666666667,"Clear","1-3","None",FALSE,154,2021,"BSH","N","1",2,200
"170","BSH_N_2021_2",10,5,10,4,1,4,"BSH_N_2021","JJC",6.3,"P. Cloudy","1-3","None",FALSE,167,2021,"BSH","N","2",2,200
"171","BSH_N_2021_3",13,7,11,6,2,5,"BSH_N_2021","JEM",8.01666666666667,"Overcast","0-1","None",FALSE,179,2021,"BSH","N","3",2,200
"172","BSH_N_2021_4",9,8,9,3,2,3,"BSH_N_2021","JNA",6.86666666666667,"Clear","0-1","None",FALSE,186,2021,"BSH","N","4",2,200
"173","BSH_N_2021_5",20,11,17,6,2,5,"BSH_N_2021","JEM",8.9,"Clear","0-1","None",FALSE,199,2021,"BSH","N","5",2,200
"174","BSH_N_2022_1",8,3,6,4,1,3,"BSH_N_2022","JJC",8.36666666666667,"M. Cloudy","1-3","None",FALSE,158,2022,"BSH","N","1",2,200
"175","BSH_N_2022_2",8,6,7,2,1,2,"BSH_N_2022","HKG",8.63333333333333,"P. Cloudy","4-7","None",FALSE,169,2022,"BSH","N","2",2,200
"176","BSH_N_2022_3",5,4,5,2,1,2,"BSH_N_2022","JLS",6.75,"P. Cloudy","0-1","None",FALSE,179,2022,"BSH","N","3",2,200
